北京联通,#genre#
北京卫视,http://114.241.217.18:4022/rtp/239.3.1.241:8000
北京卫视4K,http://114.241.217.18:4022/rtp/239.3.1.118:8001
北京文艺,http://114.241.217.18:4022/rtp/239.3.1.242:8000
北京体育休闲,http://114.241.217.18:4022/rtp/239.3.1.243:8000
北京影视,http://114.241.217.18:4022/rtp/239.3.1.158:8000
北京财经,http://114.241.217.18:4022/rtp/239.3.1.116:8000
北京生活,http://114.241.217.18:4022/rtp/239.3.1.117:8000
北京新闻,http://114.241.217.18:4022/rtp/239.3.1.159:8000
北京KAKU少儿,http://114.241.217.18:4022/rtp/239.3.1.189:8000
北京纪实科教,http://114.241.217.18:4022/rtp/239.3.1.115:8000
北京国际,http://114.241.217.18:4022/rtp/239.3.1.235:8000
CCTV-1综合,http://114.241.217.18:4022/rtp/239.3.1.129:8008
CCTV-2财经,http://114.241.217.18:4022/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.241.217.18:4022/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.241.217.18:4022/rtp/239.3.1.105:8092
CCTV-4中文国际欧洲,http://114.241.217.18:4022/rtp/239.3.1.213:4220
CCTV-4中文国际美洲,http://114.241.217.18:4022/rtp/239.3.1.214:4220
CCTV-5体育,http://114.241.217.18:4022/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.241.217.18:4022/rtp/239.3.1.130:8004
CCTV-6电影,http://114.241.217.18:4022/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.241.217.18:4022/rtp/239.3.1.61:8104
CCTV-8电视剧,http://114.241.217.18:4022/rtp/239.3.1.175:8001
CCTV-9记录,http://114.241.217.18:4022/rtp/239.3.1.62:8112
CCTV-10科教,http://114.241.217.18:4022/rtp/239.3.1.63:8116
CCTV-11戏曲,http://114.241.217.18:4022/rtp/239.3.1.152:8120
CCTV-12社会与法,http://114.241.217.18:4022/rtp/239.3.1.64:8124
CCTV-13新闻,http://114.241.217.18:4022/rtp/239.3.1.124:8128
CCTV-14少儿,http://114.241.217.18:4022/rtp/239.3.1.65:8132
CCTV-15音乐,http://114.241.217.18:4022/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://114.241.217.18:4022/rtp/239.3.1.184:8001
CCTV-17农业农村,http://114.241.217.18:4022/rtp/239.3.1.151:8144
CCTV-4K超高清,http://114.241.217.18:4022/rtp/239.3.1.245:2000
CGTN,http://114.241.217.18:4022/rtp/239.3.1.215:4220
CGTN纪录,http://114.241.217.18:4022/rtp/239.3.1.216:4220
CGTN西语,http://114.241.217.18:4022/rtp/239.3.1.217:4220
CGTN法语,http://114.241.217.18:4022/rtp/239.3.1.218:4220
CGTN阿语,http://114.241.217.18:4022/rtp/239.3.1.219:4220
CGTN俄语,http://114.241.217.18:4022/rtp/239.3.1.220:4220
中国教育1,http://114.241.217.18:4022/rtp/239.3.1.57:8152
中国教育2,http://114.241.217.18:4022/rtp/239.3.1.54:4120
中国教育4,http://114.241.217.18:4022/rtp/239.3.1.56:4120
湖南卫视,http://114.241.217.18:4022/rtp/239.3.1.132:8012
江苏卫视,http://114.241.217.18:4022/rtp/239.3.1.135:8028
浙江卫视,http://114.241.217.18:4022/rtp/239.3.1.137:8036
上海东方卫视,http://114.241.217.18:4022/rtp/239.3.1.136:8032
安徽卫视,http://114.241.217.18:4022/rtp/239.3.1.211:8064
辽宁卫视,http://114.241.217.18:4022/rtp/239.3.1.210:8056
黑龙江卫视,http://114.241.217.18:4022/rtp/239.3.1.133:8016
吉林卫视,http://114.241.217.18:4022/rtp/239.3.1.240:8172
天津卫视,http://114.241.217.18:4022/rtp/239.3.1.141:1234
广东卫视,http://114.241.217.18:4022/rtp/239.3.1.142:8048
广东卫视4K,http://114.241.217.18:4022/rtp/239.3.1.203:2000
深圳卫视,http://114.241.217.18:4022/rtp/239.3.1.134:8020
深圳卫视4K,http://114.241.217.18:4022/rtp/239.3.1.202:2000
湖北卫视,http://114.241.217.18:4022/rtp/239.3.1.138:8044
山东卫视,http://114.241.217.18:4022/rtp/239.3.1.209:8052
河北卫视,http://114.241.217.18:4022/rtp/239.3.1.148:8072
河南卫视,http://114.241.217.18:4022/rtp/239.3.1.50:8184
贵州卫视,http://114.241.217.18:4022/rtp/239.3.1.149:8076
福建东南卫视,http://114.241.217.18:4022/rtp/239.3.1.156:8148
重庆卫视,http://114.241.217.18:4022/rtp/239.3.1.122:8160
江西卫视,http://114.241.217.18:4022/rtp/239.3.1.123:8164
甘肃卫视,http://114.241.217.18:4022/rtp/239.3.1.201:8180
四川卫视,http://114.241.217.18:4022/rtp/239.3.1.29:8288
海南卫视,http://114.241.217.18:4022/rtp/239.3.1.45:8304
内蒙古卫视,http://114.241.217.18:4022/rtp/239.3.1.43:8176
新疆卫视,http://114.241.217.18:4022/rtp/239.3.1.48:8160
陕西卫视,http://114.241.217.18:4022/rtp/239.3.1.41:8140
广西卫视,http://114.241.217.18:4022/rtp/239.3.1.39:8300
山西卫视,http://114.241.217.18:4022/rtp/239.3.1.42:8172
西藏卫视,http://114.241.217.18:4022/rtp/239.3.1.47:8164
青海卫视,http://114.241.217.18:4022/rtp/239.3.1.44:8184
宁夏卫视,http://114.241.217.18:4022/rtp/239.3.1.46:8124
云南卫视,http://114.241.217.18:4022/rtp/239.3.1.26:8108
兵团卫视,http://114.241.217.18:4022/rtp/239.3.1.144:4120
厦门卫视,http://114.241.217.18:4022/rtp/239.3.1.143:4120
三沙卫视,http://114.241.217.18:4022/rtp/239.3.1.155:4120
金鹰纪实,http://114.241.217.18:4022/rtp/239.3.1.58:8156
快乐垂钓,http://114.241.217.18:4022/rtp/239.3.1.164:8001
茶频道,http://114.241.217.18:4022/rtp/239.3.1.165:8001
中国交通,http://114.241.217.18:4022/rtp/239.3.1.188:8001
山东教育卫视,http://114.241.217.18:4022/rtp/239.3.1.52:4120
金鹰卡通,http://114.241.217.18:4022/rtp/239.3.1.51:9252
嘉佳卡通,http://114.241.217.18:4022/rtp/239.3.1.147:9268
财富天下,http://114.241.217.18:4022/rtp/239.3.1.53:9136
睛彩竞技,http://114.241.217.18:4022/rtp/239.3.1.125:8001
睛彩篮球,http://114.241.217.18:4022/rtp/239.3.1.126:8001
睛彩青少,http://114.241.217.18:4022/rtp/239.3.1.127:8001
睛彩广场舞,http://114.241.217.18:4022/rtp/239.3.1.128:8001
4K超清,http://114.241.217.18:4022/rtp/239.3.1.249:8001
爱上4K,http://114.241.217.18:4022/rtp/239.3.1.236:2000
淘剧场,http://114.241.217.18:4022/rtp/239.3.1.95:8001
淘电影,http://114.241.217.18:4022/rtp/239.3.1.250:8001
淘娱乐,http://114.241.217.18:4022/rtp/239.3.1.100:8001
淘Baby,http://114.241.217.18:4022/rtp/239.3.1.238:8001
萌宠TV,http://114.241.217.18:4022/rtp/239.3.1.102:8001
IPTV收视指南,http://114.241.217.18:4022/rtp/239.3.1.193:8012
IPTV热播剧场,http://114.241.217.18:4022/rtp/239.3.1.194:9020
IPTV经典电影,http://114.241.217.18:4022/rtp/239.3.1.195:9024
IPTV魅力时尚,http://114.241.217.18:4022/rtp/239.3.1.196:9012
IPTV少儿动画,http://114.241.217.18:4022/rtp/239.3.1.199:9000
城市剧场,http://114.241.217.18:4022/rtp/239.3.1.67:4120
军旅剧场,http://114.241.217.18:4022/rtp/239.3.1.68:4120
古装剧场,http://114.241.217.18:4022/rtp/239.3.1.69:4120
音乐现场,http://114.241.217.18:4022/rtp/239.3.1.70:4120
地理,http://114.241.217.18:4022/rtp/239.3.1.71:4120
美妆,http://114.241.217.18:4022/rtp/239.3.1.72:4120
美人,http://114.241.217.18:4022/rtp/239.3.1.73:4120
精选,http://114.241.217.18:4022/rtp/239.3.1.74:4120
解密,http://114.241.217.18:4022/rtp/239.3.1.75:4120
军事,http://114.241.217.18:4022/rtp/239.3.1.76:4120
国学,http://114.241.217.18:4022/rtp/239.3.1.77:4120
戏曲,http://114.241.217.18:4022/rtp/239.3.1.78:4120
早教,http://114.241.217.18:4022/rtp/239.3.1.79:4120
动画,http://114.241.217.18:4022/rtp/239.3.1.80:4120
好学生,http://114.241.217.18:4022/rtp/239.3.1.81:4120
鉴赏,http://114.241.217.18:4022/rtp/239.3.1.82:4120
墨宝,http://114.241.217.18:4022/rtp/239.3.1.83:4120
光影,http://114.241.217.18:4022/rtp/239.3.1.84:4120
四大名著剧场,http://114.241.217.18:4022/rtp/239.3.1.85:4120
爱生活,http://114.241.217.18:4022/rtp/239.3.1.86:4120
武术,http://114.241.217.18:4022/rtp/239.3.1.87:4120
古早影院,http://114.241.217.18:4022/rtp/239.3.1.88:4120
足球,http://114.241.217.18:4022/rtp/239.3.1.89:4120
武侠剧场,http://114.241.217.18:4022/rtp/239.3.1.90:4120
喜剧影院,http://114.241.217.18:4022/rtp/239.3.1.91:4120
动作影院,http://114.241.217.18:4022/rtp/239.3.1.92:4120
家庭影院,http://114.241.217.18:4022/rtp/239.3.1.93:4120
星影,http://114.241.217.18:4022/rtp/239.3.1.94:4120
北京卫视,http://114.241.223.177:4022/rtp/239.3.1.241:8000
北京卫视4K,http://114.241.223.177:4022/rtp/239.3.1.118:8001
北京文艺,http://114.241.223.177:4022/rtp/239.3.1.242:8000
北京体育休闲,http://114.241.223.177:4022/rtp/239.3.1.243:8000
北京影视,http://114.241.223.177:4022/rtp/239.3.1.158:8000
北京财经,http://114.241.223.177:4022/rtp/239.3.1.116:8000
北京生活,http://114.241.223.177:4022/rtp/239.3.1.117:8000
北京新闻,http://114.241.223.177:4022/rtp/239.3.1.159:8000
北京KAKU少儿,http://114.241.223.177:4022/rtp/239.3.1.189:8000
北京纪实科教,http://114.241.223.177:4022/rtp/239.3.1.115:8000
北京国际,http://114.241.223.177:4022/rtp/239.3.1.235:8000
CCTV-1综合,http://114.241.223.177:4022/rtp/239.3.1.129:8008
CCTV-2财经,http://114.241.223.177:4022/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.241.223.177:4022/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.241.223.177:4022/rtp/239.3.1.105:8092
CCTV-4中文国际欧洲,http://114.241.223.177:4022/rtp/239.3.1.213:4220
CCTV-4中文国际美洲,http://114.241.223.177:4022/rtp/239.3.1.214:4220
CCTV-5体育,http://114.241.223.177:4022/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.241.223.177:4022/rtp/239.3.1.130:8004
CCTV-6电影,http://114.241.223.177:4022/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.241.223.177:4022/rtp/239.3.1.61:8104
CCTV-8电视剧,http://114.241.223.177:4022/rtp/239.3.1.175:8001
CCTV-9记录,http://114.241.223.177:4022/rtp/239.3.1.62:8112
CCTV-10科教,http://114.241.223.177:4022/rtp/239.3.1.63:8116
CCTV-11戏曲,http://114.241.223.177:4022/rtp/239.3.1.152:8120
CCTV-12社会与法,http://114.241.223.177:4022/rtp/239.3.1.64:8124
CCTV-13新闻,http://114.241.223.177:4022/rtp/239.3.1.124:8128
CCTV-14少儿,http://114.241.223.177:4022/rtp/239.3.1.65:8132
CCTV-15音乐,http://114.241.223.177:4022/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://114.241.223.177:4022/rtp/239.3.1.184:8001
CCTV-17农业农村,http://114.241.223.177:4022/rtp/239.3.1.151:8144
CCTV-4K超高清,http://114.241.223.177:4022/rtp/239.3.1.245:2000
CGTN,http://114.241.223.177:4022/rtp/239.3.1.215:4220
CGTN纪录,http://114.241.223.177:4022/rtp/239.3.1.216:4220
CGTN西语,http://114.241.223.177:4022/rtp/239.3.1.217:4220
CGTN法语,http://114.241.223.177:4022/rtp/239.3.1.218:4220
CGTN阿语,http://114.241.223.177:4022/rtp/239.3.1.219:4220
CGTN俄语,http://114.241.223.177:4022/rtp/239.3.1.220:4220
中国教育1,http://114.241.223.177:4022/rtp/239.3.1.57:8152
中国教育2,http://114.241.223.177:4022/rtp/239.3.1.54:4120
中国教育4,http://114.241.223.177:4022/rtp/239.3.1.56:4120
湖南卫视,http://114.241.223.177:4022/rtp/239.3.1.132:8012
江苏卫视,http://114.241.223.177:4022/rtp/239.3.1.135:8028
浙江卫视,http://114.241.223.177:4022/rtp/239.3.1.137:8036
上海东方卫视,http://114.241.223.177:4022/rtp/239.3.1.136:8032
安徽卫视,http://114.241.223.177:4022/rtp/239.3.1.211:8064
辽宁卫视,http://114.241.223.177:4022/rtp/239.3.1.210:8056
黑龙江卫视,http://114.241.223.177:4022/rtp/239.3.1.133:8016
吉林卫视,http://114.241.223.177:4022/rtp/239.3.1.240:8172
天津卫视,http://114.241.223.177:4022/rtp/239.3.1.141:1234
广东卫视,http://114.241.223.177:4022/rtp/239.3.1.142:8048
广东卫视4K,http://114.241.223.177:4022/rtp/239.3.1.203:2000
深圳卫视,http://114.241.223.177:4022/rtp/239.3.1.134:8020
深圳卫视4K,http://114.241.223.177:4022/rtp/239.3.1.202:2000
湖北卫视,http://114.241.223.177:4022/rtp/239.3.1.138:8044
山东卫视,http://114.241.223.177:4022/rtp/239.3.1.209:8052
河北卫视,http://114.241.223.177:4022/rtp/239.3.1.148:8072
河南卫视,http://114.241.223.177:4022/rtp/239.3.1.50:8184
贵州卫视,http://114.241.223.177:4022/rtp/239.3.1.149:8076
福建东南卫视,http://114.241.223.177:4022/rtp/239.3.1.156:8148
重庆卫视,http://114.241.223.177:4022/rtp/239.3.1.122:8160
江西卫视,http://114.241.223.177:4022/rtp/239.3.1.123:8164
甘肃卫视,http://114.241.223.177:4022/rtp/239.3.1.201:8180
四川卫视,http://114.241.223.177:4022/rtp/239.3.1.29:8288
海南卫视,http://114.241.223.177:4022/rtp/239.3.1.45:8304
内蒙古卫视,http://114.241.223.177:4022/rtp/239.3.1.43:8176
新疆卫视,http://114.241.223.177:4022/rtp/239.3.1.48:8160
陕西卫视,http://114.241.223.177:4022/rtp/239.3.1.41:8140
广西卫视,http://114.241.223.177:4022/rtp/239.3.1.39:8300
山西卫视,http://114.241.223.177:4022/rtp/239.3.1.42:8172
西藏卫视,http://114.241.223.177:4022/rtp/239.3.1.47:8164
青海卫视,http://114.241.223.177:4022/rtp/239.3.1.44:8184
宁夏卫视,http://114.241.223.177:4022/rtp/239.3.1.46:8124
云南卫视,http://114.241.223.177:4022/rtp/239.3.1.26:8108
兵团卫视,http://114.241.223.177:4022/rtp/239.3.1.144:4120
厦门卫视,http://114.241.223.177:4022/rtp/239.3.1.143:4120
三沙卫视,http://114.241.223.177:4022/rtp/239.3.1.155:4120
金鹰纪实,http://114.241.223.177:4022/rtp/239.3.1.58:8156
快乐垂钓,http://114.241.223.177:4022/rtp/239.3.1.164:8001
茶频道,http://114.241.223.177:4022/rtp/239.3.1.165:8001
中国交通,http://114.241.223.177:4022/rtp/239.3.1.188:8001
山东教育卫视,http://114.241.223.177:4022/rtp/239.3.1.52:4120
金鹰卡通,http://114.241.223.177:4022/rtp/239.3.1.51:9252
嘉佳卡通,http://114.241.223.177:4022/rtp/239.3.1.147:9268
财富天下,http://114.241.223.177:4022/rtp/239.3.1.53:9136
睛彩竞技,http://114.241.223.177:4022/rtp/239.3.1.125:8001
睛彩篮球,http://114.241.223.177:4022/rtp/239.3.1.126:8001
睛彩青少,http://114.241.223.177:4022/rtp/239.3.1.127:8001
睛彩广场舞,http://114.241.223.177:4022/rtp/239.3.1.128:8001
4K超清,http://114.241.223.177:4022/rtp/239.3.1.249:8001
爱上4K,http://114.241.223.177:4022/rtp/239.3.1.236:2000
淘剧场,http://114.241.223.177:4022/rtp/239.3.1.95:8001
淘电影,http://114.241.223.177:4022/rtp/239.3.1.250:8001
淘娱乐,http://114.241.223.177:4022/rtp/239.3.1.100:8001
淘Baby,http://114.241.223.177:4022/rtp/239.3.1.238:8001
萌宠TV,http://114.241.223.177:4022/rtp/239.3.1.102:8001
IPTV收视指南,http://114.241.223.177:4022/rtp/239.3.1.193:8012
IPTV热播剧场,http://114.241.223.177:4022/rtp/239.3.1.194:9020
IPTV经典电影,http://114.241.223.177:4022/rtp/239.3.1.195:9024
IPTV魅力时尚,http://114.241.223.177:4022/rtp/239.3.1.196:9012
IPTV少儿动画,http://114.241.223.177:4022/rtp/239.3.1.199:9000
城市剧场,http://114.241.223.177:4022/rtp/239.3.1.67:4120
军旅剧场,http://114.241.223.177:4022/rtp/239.3.1.68:4120
古装剧场,http://114.241.223.177:4022/rtp/239.3.1.69:4120
音乐现场,http://114.241.223.177:4022/rtp/239.3.1.70:4120
地理,http://114.241.223.177:4022/rtp/239.3.1.71:4120
美妆,http://114.241.223.177:4022/rtp/239.3.1.72:4120
美人,http://114.241.223.177:4022/rtp/239.3.1.73:4120
精选,http://114.241.223.177:4022/rtp/239.3.1.74:4120
解密,http://114.241.223.177:4022/rtp/239.3.1.75:4120
军事,http://114.241.223.177:4022/rtp/239.3.1.76:4120
国学,http://114.241.223.177:4022/rtp/239.3.1.77:4120
戏曲,http://114.241.223.177:4022/rtp/239.3.1.78:4120
早教,http://114.241.223.177:4022/rtp/239.3.1.79:4120
动画,http://114.241.223.177:4022/rtp/239.3.1.80:4120
好学生,http://114.241.223.177:4022/rtp/239.3.1.81:4120
鉴赏,http://114.241.223.177:4022/rtp/239.3.1.82:4120
墨宝,http://114.241.223.177:4022/rtp/239.3.1.83:4120
光影,http://114.241.223.177:4022/rtp/239.3.1.84:4120
四大名著剧场,http://114.241.223.177:4022/rtp/239.3.1.85:4120
爱生活,http://114.241.223.177:4022/rtp/239.3.1.86:4120
武术,http://114.241.223.177:4022/rtp/239.3.1.87:4120
古早影院,http://114.241.223.177:4022/rtp/239.3.1.88:4120
足球,http://114.241.223.177:4022/rtp/239.3.1.89:4120
武侠剧场,http://114.241.223.177:4022/rtp/239.3.1.90:4120
喜剧影院,http://114.241.223.177:4022/rtp/239.3.1.91:4120
动作影院,http://114.241.223.177:4022/rtp/239.3.1.92:4120
家庭影院,http://114.241.223.177:4022/rtp/239.3.1.93:4120
星影,http://114.241.223.177:4022/rtp/239.3.1.94:4120
北京卫视,http://114.241.244.154:4022/rtp/239.3.1.241:8000
北京卫视4K,http://114.241.244.154:4022/rtp/239.3.1.118:8001
北京文艺,http://114.241.244.154:4022/rtp/239.3.1.242:8000
北京体育休闲,http://114.241.244.154:4022/rtp/239.3.1.243:8000
北京影视,http://114.241.244.154:4022/rtp/239.3.1.158:8000
北京财经,http://114.241.244.154:4022/rtp/239.3.1.116:8000
北京生活,http://114.241.244.154:4022/rtp/239.3.1.117:8000
北京新闻,http://114.241.244.154:4022/rtp/239.3.1.159:8000
北京KAKU少儿,http://114.241.244.154:4022/rtp/239.3.1.189:8000
北京纪实科教,http://114.241.244.154:4022/rtp/239.3.1.115:8000
北京国际,http://114.241.244.154:4022/rtp/239.3.1.235:8000
